Brands,Model,Price,money_off,discount,Internal Storage,Solid State Storage,Display,Shop,Shop Type,Video Memory,JingDong,href,used,Display_type,Processor,Version,Touch control,Screen size,Sale,Favorable rate
华为,MagicBookPro,3999,,,8G,512G, ,集洋数码专营店,0, ,0,//item.jd.com/57488459687.html,0,0,R5, ,0,16.1,1100,98
联想,E480,4799,,,8G,256G, ,ThinkPad京东自营旗舰店,1,2G,1,//item.jd.com/6072614.html,0,1,i5, ,0,14,50000,97
机械革命,Z3,4969,,,8G,512G,GTX1650,机械革命京东自营官方旗舰店,1,8G,1,//item.jd.com/100012177986.html,0,0,i5,十代,0,15.6,2200,90
戴尔,灵越5593/5493,4398,3000,20,8G,512G,MX230,戴尔官方旗舰店,0,2G,0,//item.jd.com/55971091214.html,0,1,i5,十代,0,15.6,6500,93
荣耀,MagicBookPro,4599,,,8G,512G, ,荣耀京东自营旗舰店,1, ,1,//item.jd.com/100007934900.html,0,0,R7, ,0,16.1,8800,92
三星,GalaxyBookFle,14949,,,16G,2048G, ,三星惠多笔记本专卖店,0,2G,0,//item.jd.com/68573371859.html,0,1,i7, ,0,15.6,4,100
Apple,MacBookAir,7799,,,8G,256G, ,Apple产品京东自营旗舰店,1, ,0,//item.jd.com/100011979218.html,0,0,i3,十代,0,,1200,95
联想,小新Air14,3699,3900,500,8G,512G, ,联想亿维授权专卖店,0, ,0,//item.jd.com/57505430430.html,0,1,i5, ,0,14,3200,96
惠普,战66,5599,,,8G,512G,MX250,惠普京东自营官方旗舰店,1,2G,1,//item.jd.com/100009238484.html,0,0,i5,三代,0,14,7600,93
惠普,战66,5299,,,8G,512G,MX250,惠普京东自营官方旗舰店,1,2G,1,//item.jd.com/100009238742.html,0,0,i5,三代,0,15.6,7500,94
戴尔,灵越5593/5493,5419,3000,20,8G,512G,MX230,戴尔官方旗舰店,0,4G,0,//item.jd.com/55971091215.html,0,1,i7,十代,0,15.6,4500,93
惠普,推荐1,2199,,,8G,745G, ,优本二手电脑专营店,0,1G,0,//item.jd.com/17215189912.html,1,1,i5,六代,0,14,1900,98
联想,小新Air14,5066,,,16G,512G,MX350,联想京东自营官方旗舰店,1, ,0,//item.jd.com/66699780306.html,0,1,i5,一代,0,14,2600,93
微软,十代酷睿i5,6988,,,8G,128G, ,微软京东自营官方旗舰店,1, ,0,//item.jd.com/100009972496.html,0,0,i5,十代,1,13.5,1500,95
惠普,G1媲美超薄苹果电脑酷睿i7,1388,1499,30,4G,1152G,GTX1050,亿柯二手电脑专营店,0,8G,0,//item.jd.com/40979483632.html,1,0,i7, ,0,,2600,94
华硕,飞行堡垒8,7599,,,8G,512G,GTX1650,华硕京东自营官方旗舰店,1,4G,0,//item.jd.com/100013066170.html,0,0,i7,十代,0,15.6,40,100
联想,E14,3799,,,16G,1024G, ,ThinkPad京东自营旗舰店,1, ,0,//item.jd.com/100007233381.html,0,0,R5, ,0,14,100,96
联想,小新Air14,3599,,,8G,512G, ,联想华北授权专卖店,0, ,0,//item.jd.com/47878949717.html,0,0,R5, ,0,,800,89
惠普,战66,7199,,,16G,1024G,MX250,惠普京东自营官方旗舰店,1,2G,1,//item.jd.com/100010342216.html,0,0,i7,三代,0,14,1400,94
联想,S2,5299,,,8G,512G, ,ThinkPad京东自营官方旗舰店,1, ,0,//item.jd.com/63046656053.html,0,0,i5,十代,0,13.3,2800,91
宏碁,EX215,2299,,,4G,1024G, ,宏碁商用京东自营旗舰店,1, ,0,//item.jd.com/100004049005.html,0,0,, ,0,15.6,2700,88
戴尔,XPS13-7390,9499,,,8G,512G, ,戴尔京东自营官方旗舰店,1, ,1,//item.jd.com/100010774634.html,0,0,i5, ,0,13.3,1100,93
联想,人气推荐：累计销量2,1418,,,8G,, ,悦企二手商品专营店,0, ,0,//item.jd.com/22298647726.html,1,0,i5, ,0,12.5,9800,97
荣耀,MagicBookPro,6099,,,16G,512G,MX250,荣耀京东自营旗舰店,1, ,0,//item.jd.com/100012076648.html,0,0,i7, ,0,16.1,1300,94
微软,奔腾金牌4425Y,3988,,,8G,128G, ,微软京东自营官方旗舰店,1, ,0,//item.jd.com/100013381490.html,0,0,, ,1,10.5,700,98
华硕,adolbook14,4799,,,8G,544G, ,华硕京东自营官方旗舰店,1,2G,1,//item.jd.com/100012038816.html,0,1,i5, ,0,14,1900,90
华硕,VivoBook15,5699,,,8G,512G,MX330,华硕电脑京东自营官方旗舰店,1, ,0,//item.jd.com/69398204858.html,0,0,i7,十代,0,15.6,70,100
机械革命,Z3,5469,,,8G,512G,GTX1650,机械革命京东自营官方旗舰店,1,8G,1,//item.jd.com/100012177976.html,0,0,i7, ,0,15.6,2300,92
戴尔,成就5000,4799,2000,100,8G,512G,MX250,戴尔京东自营官方旗舰店,1,2G,0,//item.jd.com/100008961702.html,0,1,i5,十代,0,13.3,3600,89
华为,MateBookX,8988,,,16G,512G, ,华为京东自营官方旗舰店,1, ,0,//item.jd.com/100012038814.html,0,1,i5,十代,1,13.9,1000,98
联想,X1,10499,,,8G,512G, ,ThinkPad京东自营旗舰店,1, ,0,//item.jd.com/100013255308.html,0,0,i5, ,0,14,90,98
华硕,adolbook13,4999,,,8G,512G,MX330,华硕京东自营官方旗舰店,1,8G,0,//item.jd.com/100013160276.html,0,0,i5, ,0,,100,84
联想,小新15,5799,,,16G,512G,MX350,联想昌盛授权专卖店,0, ,0,//item.jd.com/67279811216.html,0,0,i5,十代,0,15.6,100,94
戴尔,灵越5000,3719,3000,20,8G,512G, ,戴尔官方旗舰店,0, ,0,//item.jd.com/66405403375.html,0,0,R5, ,0,14,100,71
华为,MateBookX,12988,,,16G,1024G, ,华为京东自营官方旗舰店,1, ,0,//item.jd.com/100012038784.html,0,1,i7,十代,1,13.9,1000,96
戴尔,G5,5999,,,8G,512G,GTX1650,戴尔京东自营官方旗舰店,1,4G,0,//item.jd.com/100013068392.html,0,0,i5,十代,0,,1000,98
机械革命,机械革命Z2Air-S十代酷睿i7全面屏吃鸡游戏本GTX1650/1650Ti,5859,100,10,4G,512G,GTX1650,机械革命旗舰店,0,8G,0,//item.jd.com/43173008309.html,0,1,i5,十代,0,,1300,98
联想,X1,14499,,,16G,512G, ,ThinkPad京东自营旗舰店,1,4G,0,//item.jd.com/100013255310.html,0,0,i7,十代,0,14,100,100
联想,威6,4199,,,8G,512G, ,联想扬天京东自营旗舰店,1, ,0,//item.jd.com/100003335145.html,0,0,i5, ,0,13.3,10000,92
华为,MateBook13,6988,,,16G,512G,MX250,华为京东自营官方旗舰店,1, ,0,//item.jd.com/100006189013.html,0,0,i7,十代,1,13,2300,95
RedmiBook,RedmiBook,3899,2000,100,8G,512G, ,小米京东自营旗舰店,1, ,1,//item.jd.com/100010658700.html,0,0,i5,十代,0,13,2600,92
机械革命,X3-S,7769,,,16G,512G, ,机械革命京东自营官方旗舰店,1, ,0,//item.jd.com/100013406802.html,0,0,i7, ,0,17.3,300,96
联想,扬天V730,3299,3000,300,8G,512G, ,联想扬天京东自营授权旗舰店,1, ,0,//item.jd.com/52143755234.html,0,0,, ,0,13.3,800,96
联想,T490,8499,,,8G,512G, ,ThinkPad京东自营旗舰店,1,2G,0,//item.jd.com/100005101853.html,0,1,i5,十代,0,14,2100,91
华硕,灵耀X2,9999,,,16G,1024G, ,华硕京东自营官方旗舰店,1, ,0,//item.jd.com/100012443348.html,0,0,i7, ,0,14,500,98
华硕,飞行堡垒8,7489,,,8G,512G,GTX1660,华硕京东自营官方旗舰店,1,6G,0,//item.jd.com/100013066158.html,0,0,i7, ,0,15.6,400,100
RedmiBook,RedmiBook14,3999,,,16G,512G, ,小米京东自营旗舰店,1, ,1,//item.jd.com/100005224917.html,0,0,R7, ,0,,10000,90
戴尔,新品游匣G5,8819,3000,20,16G,, ,戴尔官方旗舰店,0, ,0,//item.jd.com/69337243068.html,0,0,i7,十代,0,15.6,30,96
微星,绝影2,13999,,,16G,1024G, ,微星游戏本京东自营官方旗舰店,1, ,0,//item.jd.com/100012607932.html,0,0,i7,十代,0,15.6,100,85
华为,MateBookD,6399,,,16G,512G, ,华为京东自营官方旗舰店,1, ,0,//item.jd.com/100011934278.html,0,1,i7,十代,0,,1500,92
戴尔,灵越5493燃5000,6099,,,16G,256G, ,戴尔速达专卖店,0, ,0,//item.jd.com/11038818381.html,0,1,i7,十代,0,14,1200,97
联想,S2,4499,2000,100,8G,512G, ,ThinkPad京东自营旗舰店,1, ,0,//item.jd.com/100011279576.html,0,0,i5,十代,0,13.3,400,93
惠普,战66,4299,,,16G,512G, ,惠普京东自营官方旗舰店,1, ,0,//item.jd.com/100013312610.html,0,0,R5,三代,0,15.6,600,98
联想,小新15,3949,,,8G,512G, ,联想有点授权专卖店,0, ,0,//item.jd.com/31987285545.html,0,0,R5, ,0,,500,93
联想,威6,4599,,,8G,512G, ,联想扬天京东自营旗舰店,1, ,0,//item.jd.com/100007061021.html,0,1,i5,十代,0,15.6,400,94
RedmiBook,RedmiBook13,3789,,,16G,512G, ,小米京东自营旗舰店,1, ,0,//item.jd.com/100013156040.html,0,0,R5, ,0,,100,96
戴尔,成就5490/灵越5480,4399,,,8G,512G,MX130,戴尔卓越专卖店,0,2G,0,//item.jd.com/11858263458.html,0,1,i5, ,0,14,2000,98
微软,第十代酷睿i5,6258,,,8G,128G, ,微软京东自营官方旗舰店,1, ,0,//item.jd.com/100009186366.html,0,0,i5,十代,1,12.3,10000,92
戴尔,灵越7000-7591,5499,,,8G,256G,GTX1050,戴尔京东自营官方旗舰店,1, ,1,//item.jd.com/100005625412.html,0,0,i5,九代,0,15.6,7500,93
三星,BookFle,12989,,,16G,1024G, ,三星笔记本京东自营官方旗舰店,1, ,0,//item.jd.com/100005976881.html,0,0,i7,十代,1,13.3,1200,97
联想,S740,6299,,,16G,512G,MX250,联想京东自营旗舰店,1, ,0,//item.jd.com/100011240192.html,0,1,i7,十代,0,14,1200,93
Apple,MacBookPro,2589,,,8G,, ,麦克布克二手电脑专营店,0, ,0,//item.jd.com/63053915030.html,1,0,i5, ,0,,1100,100
微星,冲锋坦克2,7699,,,16G,512G,GTX1660,微星游戏本京东自营官方旗舰店,1, ,0,//item.jd.com/100012278206.html,0,0,i7,十代,0,15.6,100,84
宏碁,S50,3299,3000,300,8G,512G,MX350,Acer宏碁旗舰店,0,2G,0,//item.jd.com/44069220157.html,0,0,i5,十代,0,15.6,1500,95
RedmiBook,RedmiBook14,3709,,,16G,512G, ,小米京东自营旗舰店,1, ,0,//item.jd.com/100012045076.html,0,0,R5, ,0,,1600,92
联想,定制i5-1035G1/8G/512G,3999,2980,300,8G,512G,MX350,联想授权旗舰店,0,2G,0,//item.jd.com/28712276705.html,0,1,i5,十代,0,14,3900,98
微软,奔腾金牌4425Y,2988,,,4G,64G, ,微软京东自营官方旗舰店,1, ,0,//item.jd.com/100007311665.html,0,0,, ,1,10.5,200,93
华硕,飞行堡垒8,7279,2000,5,6G,512G, ,华硕电脑官方旗舰店,0,8G,0,//item.jd.com/69193745695.html,0,0,i7,十代,0,15.6,600,99
外星人,m15,12999,,,,, ,外星人京东自营旗舰店,1, ,0,//item.jd.com/100012791594.html,0,0,R3,九代,0,15.6,40,100
机械革命,Z3Air-S,7199,,,8G,512G, ,机械革命京东自营官方旗舰店,1, ,0,//item.jd.com/100012177992.html,0,0,i7, ,0,15.6,1700,92
华硕,飞行堡垒8,7789,,,16G,512G,GTX1660,华硕京东自营官方旗舰店,1,6G,0,//item.jd.com/100013066182.html,0,0,i7, ,0,15.6,600,94
华为,MateBookX,7699,,,8G,512G, ,华为京东自营官方旗舰店,1, ,0,//item.jd.com/100009635108.html,0,2,i5, ,0,13.9,2600,94
联想,T590,9649,,,8G,512G, ,ThinkPad京东自营官方旗舰店,1,2G,0,//item.jd.com/46341343514.html,0,1,i7, ,0,15.6,200,94
华为,MateBookD,4299,,,16G,512G, ,华为肆玖专卖店,0, ,0,//item.jd.com/65173774560.html,0,2,R5, ,0,,1400,97
惠普,战66,4699,,,8G,512G, ,惠普京东自营官方旗舰店,1, ,1,//item.jd.com/100006706156.html,0,0,R5, ,0,14,10000,93
荣耀,MagicBook15,3799,,,8G,512G, ,荣耀京东自营旗舰店,1, ,0,//item.jd.com/100010079808.html,0,0,R5, ,0,15.6,5800,93
惠普,星14青春版,2599,2000,100,8G,256G, ,惠普鑫强利达专卖店,0, ,0,//item.jd.com/68016056661.html,0,0,, ,0,,200,93
华为,MateBook14,6388,,,,, ,华为兴汇聚专卖店,0, ,0,//item.jd.com/58737308653.html,0,0,, ,1,,2500,99
联想,S940,11999,,,16G,1024G, ,联想京东自营官方旗舰店,1, ,0,//item.jd.com/41352840945.html,0,0,i7,十代,1,14,1300,94
华硕,VivoBook14,4299,,,8G,512G, ,华硕电脑京东自营官方旗舰店,1, ,0,//item.jd.com/69199960589.html,0,1,i5,十代,0,14,500,99
华硕,破晓7,5279,2000,5,8G,512G, ,华硕电脑官方旗舰店,0,2G,1,//item.jd.com/54727395733.html,0,1,i7, ,0,15.6,3200,94
惠普,战66,5599,,,8G,512G,MX250,惠普京东自营官方旗舰店,1,2G,1,//item.jd.com/100009238232.html,0,0,i5,三代,0,15.6,4100,94
惠普,战66,5199,,,16G,512G, ,惠普京东自营官方旗舰店,1, ,0,//item.jd.com/100013320628.html,0,0,R7,三代,0,14,600,98
戴尔,灵越G3,5999,,,4G,,GTX1650,戴尔卓越专卖店,0, ,0,//item.jd.com/59069110441.html,0,1,i5, ,0,15.6,20,100
雷神,雷神911ST黑武士3全面屏轻薄金属游戏本10代i7-10750H,5388,3000,300,8G,512G,GTX1650,雷神京东官方自营旗舰店,1, ,0,//item.jd.com/67144459773.html,0,1,i7, ,0,,200,98
联想,X13,8999,,,16G,512G, ,ThinkPad京东自营旗舰店,1, ,0,//item.jd.com/100007233369.html,0,0,i7, ,0,13.3,100,98
微软,Book2,12358,,,8G,256G,GTX1050,微软京东自营官方旗舰店,1, ,0,//item.jd.com/5728435.html,0,0,i7, ,1,13.5,1100,98
ROG,十代酷睿i7,9999,,,16G,512G, ,ROG京东自营官方旗舰店,1, ,0,//item.jd.com/100013494228.html,0,0,i7,十代,0,15.6,100,100
惠普,X360,5699,,,8G,512G, ,惠普京东自营官方旗舰店,1,8G,0,//item.jd.com/100007124481.html,0,0,R5, ,1,13.3,90,76
联想,T14,8499,,,8G,512G, ,ThinkPad京东自营旗舰店,1,2G,0,//item.jd.com/100013333218.html,0,1,i5,十代,0,14,60,85
惠普,战66,4899,,,16G,512G, ,惠普京东自营官方旗舰店,1, ,0,//item.jd.com/100007270267.html,0,0,R5,三代,0,14,500,99
华为,MagicBook201,3279,1000,30,8G,256G, ,金博盛笔记本专营店,0, ,0,//item.jd.com/27397632829.html,0,0,R5, ,0,14,3200,96
联想,扬天V110,1698,1000,100,4G,, ,联想扬天航电授权专卖店,0,2G,0,//item.jd.com/44631083498.html,0,1,, ,0,14,1500,90
联想,Book2,9999,,,8G,512G, ,联想京东自营官方旗舰店,1, ,0,//item.jd.com/65856580959.html,0,0,i5, ,1,10.8,700,94
得峰,四核-银色Intel-J3455,1287,100,10,8G,64G, ,得峰旗舰店,0, ,0,//item.jd.com/27787691791.html,0,0,, ,0,,70,90
联想,扬天S540,3799,3000,300,8G,512G, ,联想扬天京东自营授权旗舰店,1,2G,1,//item.jd.com/51559132222.html,0,1,i5,八代,0,14,1600,94
华硕,灵耀Deluxe14,6479,2000,5,8G,512G, ,华硕电脑官方旗舰店,0, ,0,//item.jd.com/44326846413.html,0,0,i7, ,0,14,400,91
联想,小新Pro13,5199,,,16G,512G, ,联想京东自营旗舰店,1, ,0,//item.jd.com/100006859461.html,0,0,i5, ,0,,1500,91
惠普,星15,4699,,,8G,256G,MX330,惠普蓝星专卖店,0, ,0,//item.jd.com/29260057586.html,0,1,i5, ,0,,200,96
戴尔,灵越5000fit,6399,,,8G,512G,MX250,戴尔京东自营官方旗舰店,1,2G,1,//item.jd.com/100007540738.html,0,1,i7,十代,0,15.6,4300,92
联想,拯救者R7000,4899,4980,600,8G,256G,GTX1650,联想授权旗舰店,0,4G,0,//item.jd.com/35374530418.html,0,1,R5, ,0,15.6,1000,93
联想,X390,6399,2000,100,8G,256G, ,ThinkPad京东自营旗舰店,1,4G,0,//item.jd.com/100009906628.html,0,0,i5, ,0,13.3,600,92
戴尔,XPS13-7390,9459,1000,10,8G,512G, ,戴尔京东自营官方旗舰店,1, ,1,//item.jd.com/100004681589.html,0,0,i5, ,0,13.3,1600,94
联想,扬天V14/V15,5899,,,8G,1152G,MX110,联想朗通金牌专营店,0,2G,0,//item.jd.com/55405970137.html,0,1,i7, ,0,15.6,10000,99
雷神,新911,8699,,,16G,256G, ,雷神京东自营官方旗舰店,1, ,1,//item.jd.com/100012345068.html,0,0,i7,十代,0,16.6,200,95
华为,MateBook13,4699,,,,512G, ,科族数码专营店,0, ,0,//item.jd.com/67664942017.html,0,2,R5, ,1,13,400,96
华硕,ASUS,6899,,,16G,512G,GTX1650,华硕京东自营官方旗舰店,1,4G,0,//item.jd.com/100013286920.html,0,0,R7, ,0,15.6,400,97
nan,,4199,,,8G,512G, ,卓品数码旗舰店,0, ,0,//item.jd.com/23724462079.html,0,0,i5,十代,0,,1300,95
戴尔,轻薄本成就5590/5490,5079,,,8G,512G,MX250,戴尔康特专卖店,0,2G,0,//item.jd.com/64749684366.html,0,0,i5,十代,0,15.6,10000,96
华硕,,3599,,,8G,256G, ,华硕奇达专卖店,0, ,0,//item.jd.com/61123578382.html,0,0,R7, ,0,14,2200,97
联想,小新Air14,4199,2000,200,8G,512G,MX350,联想航电授权专卖店,0, ,0,//item.jd.com/14543766895.html,0,0,i7,十代,0,,2100,97
机械革命,机械革命Z2,4389,3000,300,4G,512G,GTX1650,机械革命授权专卖店,0,8G,0,//item.jd.com/37443961252.html,0,1,i5,十代,0,15.6,600,98
联想,拯救者Y7000,4699,5000,500,8G,256G,GTX1650,联想航电授权专卖店,0,4G,0,//item.jd.com/40100696316.html,0,0,i5,十代,0,15.6,200,96
外星人,m17,20999,,,,, ,外星人京东自营旗舰店,1, ,0,//item.jd.com/100007206699.html,0,0,R5,十代,0,17.3,2100,90
华为,MateBookX,9988,,,16G,512G, ,华为京东自营官方旗舰店,1, ,0,//item.jd.com/100012038796.html,0,1,i7,十代,1,13.9,1500,96
联想,小新15,3399,3000,300,16G,512G, ,联想电脑授权专卖店,0, ,0,//item.jd.com/12579070740.html,0,0,R5, ,0,15.6,6300,94
戴尔,成就Vostro3000十代4核i5/i7Pcle,3788,,,8G,256G, ,戴尔官方旗舰店,0, ,0,//item.jd.com/63831733611.html,0,2,i5,十代,0,,100,94
联想,小新13,4499,4799,300,8G,512G,MX350,联想率秀图新授权专卖店,0, ,0,//item.jd.com/68490129563.html,0,1,i5, ,0,13.3,80,100
联想,E14,5999,,,8G,128G, ,ThinkPad京东自营官方旗舰店,1, ,0,//item.jd.com/67468340379.html,0,0,i7,十代,0,14,10,50
荣耀,MagicBook201,4399,,,8G,256G,MX250,荣耀京东自营旗舰店,1, ,0,//item.jd.com/100005338865.html,0,0,i5, ,0,14,1300,93
华为,MateBook13,6988,,,16G,512G, ,华为航智专卖店,0, ,0,//item.jd.com/43158970766.html,0,1,i7, ,1,13,200,96
惠普,,4499,3000,300,16G,1024G, ,惠普蓝星专卖店,0, ,0,//item.jd.com/28219713450.html,0,1,i5,十代,0,,100,98
惠普,战99-25,8499,,,16G,256G, ,惠普京东自营官方旗舰店,1,4G,0,//item.jd.com/100007413706.html,0,1,i7, ,0,15.6,4900,91
华为,MateBookD,3999,,,8G,512G, ,华为京东自营官方旗舰店,1, ,0,//item.jd.com/100010826856.html,0,0,R5, ,0,14,3100,92
联想,E14,4999,,,8G,512G, ,ThinkPad京东自营旗舰店,1, ,1,//item.jd.com/100008792752.html,0,1,i5, ,0,14,1700,89
联想,小新15,3899,3000,200,16G,512G, ,联想西南授权专卖店,0,8G,0,//item.jd.com/28196614899.html,0,0,R5,三代,0,,100,97
联想,小新Air13,4899,,,16G,512G, ,联想电脑授权专卖店,0, ,0,//item.jd.com/63793036738.html,0,0,i5, ,0,13.3,60000,94
华为,MateBook14,7388,,,16G,512G,MX350,华为千百回专卖店,0, ,0,//item.jd.com/65456588125.html,0,0,i7,十代,1,,200,96
华为,MagicBook15,3599,,,8G,256G, ,荣耀策山专卖店,0, ,0,//item.jd.com/62611125630.html,0,2,R5, ,0,15.6,2400,97
华为,MateBookD,4299,,,16G,512G, ,华为桑核专卖店,0, ,0,//item.jd.com/66652381197.html,0,0,R5, ,0,15,1100,98
联想,小新13全新十代CPU,3849,2980,300,8G,512G,MX350,联想授权旗舰店,0,2G,0,//item.jd.com/16770177635.html,0,1,i5,十代,0,,2500,98
VAIO,SX14,17999,,,16G,1024G, ,VAIO京东自营旗舰店,1, ,0,//item.jd.com/100002142129.html,0,0,i7, ,0,14,1700,95
外星人,m15,11999,,,,,GTX1660,外星人京东自营旗舰店,1, ,0,//item.jd.com/100003557929.html,0,0,R3, ,0,15.6,1100,90
LG,gram20,6899,,,8G,256G, ,LG笔记本电脑京东自营旗舰店,1, ,0,//item.jd.com/100011517222.html,0,0,R5,十代,0,14,90,96
联想,X13,7999,,,16G,512G, ,ThinkPad京东自营旗舰店,1, ,0,//item.jd.com/100013308596.html,0,0,i5, ,0,13.3,100,100
戴尔,灵越5000,2789,3000,300,4G,128G, ,戴尔宇熙世纪专卖店,0, ,0,//item.jd.com/13285452140.html,0,0,i3,十代,0,14,5300,98
华硕,顽石6代Y4200,3429,2000,5,4G,256G, ,华硕电脑官方旗舰店,0,2G,0,//item.jd.com/67408367035.html,0,1,i3,十代,0,14,50,100
联想,IdeaPad14s,4066,,,,512G,MX330,联想京东自营官方旗舰店,1, ,0,//item.jd.com/41575227823.html,0,0,i5,十代,0,14,2600,95
联想,拯救者Y7000,5599,1980,200,8G,512G,GTX1650,联想昌盛授权专卖店,0,4G,0,//item.jd.com/14441923667.html,0,1,i5,十代,0,15.6,1300,95
联想,扬天威5,3999,,,8G,1152G, ,联想严选授权专卖店,0,2G,0,//item.jd.com/66282112210.html,0,0,i5, ,0,14,200,100
联想,E490,5499,1000,100,8G,1152G, ,ThinkPad成都授权专卖店,0,2G,0,//item.jd.com/52598377828.html,0,1,i7,八代,0,14,3700,99
联想,T14,10499,,,8G,512G, ,ThinkPad京东自营旗舰店,1,2G,0,//item.jd.com/100007278667.html,0,1,i7,十代,0,14,20,100
联想,ThinkBook15,6599,,,,32G, ,ThinkPad福建授权专卖店,0,2G,0,//item.jd.com/62764268649.html,0,1,i5,十代,0,15.6,1200,96
联想,i5-10210U,4599,4000,200,8G,512G, ,联想亿维授权专卖店,0, ,0,//item.jd.com/59886463999.html,0,0,i5,十代,0,13.3,1300,96
华为,MateBook13,4699,,,16G,512G, ,华为新通路专卖店,0, ,0,//item.jd.com/65384259013.html,0,0,R5, ,0,13,5000,98
荣耀,MagicBook201,5399,,,8G,512G,MX250,荣耀京东自营旗舰店,1,8G,0,//item.jd.com/100008836136.html,0,0,i7, ,0,14,1500,92
华硕,8G、512G低至4399元咨询客服有惊喜,5009,2000,5,8G,512G,GTX1650,华硕金硕专卖店,0,8G,0,//item.jd.com/59664003919.html,0,0,R5, ,0,15.6,1000,98
宏碁,九代i5,4199,3000,300,8G,512G,GTX1650,Acer宏碁旗舰店,0, ,0,//item.jd.com/32660161475.html,0,0,i5,九代,0,15.6,2600,98
小米,i7-9750H,8459,,,16G,1024G, ,小米京东自营旗舰店,1,6G,0,//item.jd.com/100009217838.html,0,1,i7, ,0,15.6,3300,91
小米,i5-9300H,6459,,,8G,512G,GTX1660,小米京东自营旗舰店,1,6G,0,//item.jd.com/100004222743.html,0,1,i5, ,0,15.6,2500,93
宏碁,R5-4500U,3999,,,16G,512G, ,宏碁京东自营旗舰店,1, ,0,//item.jd.com/100006461093.html,0,0,R5, ,0,14,3600,94
联想,扬天V110,1746,1000,100,4G,128G, ,联想扬天丽邦专卖店,0,2G,0,//item.jd.com/14184533665.html,0,1,, ,0,14,900,99
VAIO,SX12,9788,,,8G,256G, ,VAIO京东自营旗舰店,1, ,0,//item.jd.com/100010816644.html,0,0,i5, ,0,12.5,10,100
联想,E14,5999,,,8G,512G, ,ThinkPad京东自营旗舰店,1, ,1,//item.jd.com/100008792750.html,0,1,i7, ,0,14,1000,93
华硕,飞行堡垒8,5899,,,8G,512G,GTX1650,华硕京东自营官方旗舰店,1,4G,0,//item.jd.com/100013066160.html,0,0,i5,十代,0,15.6,400,98
华为,MateBook14,6388,,,16G,512G,MX350,华为兴汇聚专卖店,0, ,0,//item.jd.com/58737308653.html,0,0,i5,十代,1,,2500,99
联想,拯救者R7000,5799,,,8G,512G,GTX1650,联想育新授权专卖店,0, ,0,//item.jd.com/10772195438.html,0,0,R7, ,0,15.6,70,88
戴尔,成就5000,5599,2000,100,8G,512G,MX250,戴尔京东自营官方旗舰店,1,2G,0,//item.jd.com/100005077767.html,0,1,i7,十代,0,13.3,300,90
戴尔,G5,8199,,,8G,512G,GTX1660,戴尔京东自营官方旗舰店,1,6G,0,//item.jd.com/100013068424.html,0,1,i7,十代,0,,400,97
联想,X240,1648,,,8G,256G, ,雷纽二手商品专营店,0, ,0,//item.jd.com/67337161974.html,1,0,i5, ,1,12.5,1100,96
华为,MateBookD,4299,,,16G,512G, ,华为千百回专卖店,0, ,0,//item.jd.com/66749787655.html,0,2,R5, ,0,14,1300,98
戴尔,灵越/成就5000,4919,3000,20,8G,512G,MX250,戴尔官方旗舰店,0, ,0,//item.jd.com/65529057424.html,0,1,i5, ,0,14,300,89
LG,gram20,7499,,,8G,512G, ,LG笔记本电脑京东自营旗舰店,1, ,0,//item.jd.com/100006365929.html,0,0,R5,十代,0,14,70,91
联想,X13,7999,,,8G,512G, ,ThinkPad京东自营旗舰店,1, ,0,//item.jd.com/100013263242.html,0,0,i7, ,0,13.3,20,100
LG,gram20,6899,,,8G,256G, ,LG笔记本电脑京东自营旗舰店,1,8G,0,//item.jd.com/100011517222.html,0,0,R5,十代,0,14,90,96
华为,MagicBook,3679,199,30,16G,512G, ,千百回电脑专营店,0,8G,0,//item.jd.com/28694162119.html,0,2,R7, ,0,14,3000,97
VAIO,SX12,16288,,,16G,1024G, ,VAIO京东自营旗舰店,1, ,0,//item.jd.com/100006008777.html,0,0,i7, ,0,12.5,60,93
机械革命,Z2,5499,,,8G,512G,GTX1650,机械革命京东自营官方旗舰店,1, ,1,//item.jd.com/100003052761.html,0,0,i7,十代,0,15.6,30000,93
微星,冲锋坦克2,9699,,,16G,512G, ,微星游戏本京东自营官方旗舰店,1, ,0,//item.jd.com/100006740569.html,0,0,i7,十代,0,17.3,100,91
华硕,VivoBook14,4269,2000,5,8G,512G,MX330,华硕电脑官方旗舰店,0, ,0,//item.jd.com/67842973151.html,0,0,i5,十代,0,14,1500,97
华硕,VivoBook14,4379,2000,5,8G,512G,MX330,华硕电脑官方旗舰店,0, ,0,//item.jd.com/67842973150.html,0,0,i5,十代,0,14,1500,97
惠普,暗影精灵5,7499,,,8G,512G, ,惠普京东自营官方旗舰店,1,6G,1,//item.jd.com/100005606318.html,0,1,i5, ,0,15.6,10000,95
联想,拯救者Y7000,5799,2980,300,8G,512G,GTX1650,联想华东授权专卖店,0,4G,0,//item.jd.com/46140264305.html,0,1,i7,十代,0,,300,99
联想,扬天V110,2399,2000,200,4G,128G, ,联想扬天京东自营授权旗舰店,1,2G,0,//item.jd.com/53066721080.html,0,1,, ,0,15.6,100,93
联想,推荐1,1468,,,8G,, ,优本二手电脑专营店,0,1G,0,//item.jd.com/40373557908.html,1,1,i5,六代,0,,600,95
惠普,,1898,2000,300,4G,128G, ,惠普宇熙世纪专卖店,0, ,0,//item.jd.com/61111756214.html,0,0,, ,0,14,1400,92
